"volunteernumber" "activity" "feature" "mean"
2 "SITTING" "Body Gyroscope Jerk" -0.524153184053985
2 "SITTING" "Body Gyroscope Jerk Magnitude" -0.990042818315217
2 "SITTING" "Body Gyroscope Magnitude" -0.960143763152174
2 "SITTING" "Gravity Accelerometer" -0.309596814941826
2 "SITTING" "Gravity Accelerometer Magnitude" -0.960487534021739
2 "STANDING" "Body Accelerometer" -0.711702095765278
2 "STANDING" "Body Accelerometer Jerk" -0.727583162880154
2 "STANDING" "Body Accelerometer Jerk Magnitude" -0.977347528287037
2 "STANDING" "Body Accelerometer Magnitude" -0.962080423564815
2 "STANDING" "Body Gyroscope" -0.728615302981867
2 "STANDING" "Body Gyroscope Jerk" -0.523139906160185
2 "STANDING" "Body Gyroscope Jerk Magnitude" -0.979190114398148
2 "STANDING" "Body Gyroscope Magnitude" -0.958993588194444
2 "STANDING" "Gravity Accelerometer" -0.375032381092593
2 "STANDING" "Gravity Accelerometer Magnitude" -0.961875073148148
2 "WALKING" "Body Accelerometer" -0.22320940547452
2 "WALKING" "Body Accelerometer Jerk" -0.223012563613206
2 "WALKING" "Body Accelerometer Jerk Magnitude" -0.194682865317797
2 "WALKING" "Body Accelerometer Magnitude" -0.403586600669492
2 "WALKING" "Body Gyroscope" -0.389801833774506
2 "WALKING" "Body Gyroscope Jerk" -0.274398358070057
2 "WALKING" "Body Gyroscope Jerk Magnitude" -0.561765987457627
2 "WALKING" "Body Gyroscope Magnitude" -0.54551666588983
2 "WALKING" "Gravity Accelerometer" -0.377624266355932
2 "WALKING" "Gravity Accelerometer Magnitude" -0.356475881525424
2 "WALKING_DOWNSTAIRS" "Body Accelerometer" 0.052541056733156
2 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk" -0.0245685749379965
2 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk Magnitude" 0.171250122649468
2 "WALKING_DOWNSTAIRS" "Body Accelerometer Magnitude" 0.144370873451596
2 "WALKING_DOWNSTAIRS" "Body Gyroscope" -0.241323746179965
2 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk" -0.183812911593262
2 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk Magnitude" -0.369483709702128
2 "WALKING_DOWNSTAIRS" "Body Gyroscope Magnitude" -0.282611999094309
2 "WALKING_DOWNSTAIRS" "Gravity Accelerometer" -0.386617728279433
2 "WALKING_DOWNSTAIRS" "Gravity Accelerometer Magnitude" 0.152768727693617
2 "WALKING_UPSTAIRS" "Body Accelerometer" -0.0919397452059549
2 "WALKING_UPSTAIRS" "Body Accelerometer Jerk" -0.262880419124531
2 "WALKING_UPSTAIRS" "Body Accelerometer Jerk Magnitude" -0.247148320371875
2 "WALKING_UPSTAIRS" "Body Accelerometer Magnitude" -0.206336626930729
2 "WALKING_UPSTAIRS" "Body Gyroscope" -0.276084165651215
2 "WALKING_UPSTAIRS" "Body Gyroscope Jerk" -0.291291430169444
2 "WALKING_UPSTAIRS" "Body Gyroscope Jerk Magnitude" -0.59818171421875
2 "WALKING_UPSTAIRS" "Body Gyroscope Magnitude" -0.371619556807292
2 "WALKING_UPSTAIRS" "Gravity Accelerometer" -0.426260826863889
2 "WALKING_UPSTAIRS" "Gravity Accelerometer Magnitude" -0.156649862408333
3 "LAYING" "Body Accelerometer" -0.714541422396102
3 "LAYING" "Body Accelerometer Jerk" -0.725960036763442
3 "LAYING" "Body Accelerometer Jerk Magnitude" -0.976715216774194
3 "LAYING" "Body Accelerometer Magnitude" -0.967721003790323
3 "LAYING" "Body Gyroscope" -0.725073076088105
3 "LAYING" "Body Gyroscope Jerk" -0.52636420197043
3 "LAYING" "Body Gyroscope Jerk Magnitude" -0.984174822540323
3 "LAYING" "Body Gyroscope Magnitude" -0.956467110766129
3 "LAYING" "Gravity Accelerometer" -0.307424279973118
3 "LAYING" "Gravity Accelerometer Magnitude" -0.968504761290323
3 "SITTING" "Body Accelerometer" -0.667752962146955
3 "SITTING" "Body Accelerometer Jerk" -0.720127478842067
3 "SITTING" "Body Accelerometer Jerk Magnitude" -0.967022145432692
3 "SITTING" "Body Accelerometer Magnitude" -0.886124341971154
3 "SITTING" "Body Gyroscope" -0.711951460376987
3 "SITTING" "Body Gyroscope Jerk" -0.520606559849904
3 "SITTING" "Body Gyroscope Jerk Magnitude" -0.977339659038462
3 "SITTING" "Body Gyroscope Magnitude" -0.929246762192308
3 "SITTING" "Gravity Accelerometer" -0.265260139683365
3 "SITTING" "Gravity Accelerometer Magnitude" -0.882842525096154
3 "STANDING" "Body Accelerometer" -0.681866426593609
3 "STANDING" "Body Accelerometer Jerk" -0.712296095246885
3 "STANDING" "Body Accelerometer Jerk Magnitude" -0.951227041434426
3 "STANDING" "Body Accelerometer Magnitude" -0.922344782868852
3 "STANDING" "Body Gyroscope" -0.688106911903142
3 "STANDING" "Body Gyroscope Jerk" -0.509341576961202
3 "STANDING" "Body Gyroscope Jerk Magnitude" -0.959368083729508
3 "STANDING" "Body Gyroscope Magnitude" -0.892834162868852
3 "STANDING" "Gravity Accelerometer" -0.368258095377322
3 "STANDING" "Gravity Accelerometer Magnitude" -0.920287061311475
3 "WALKING" "Body Accelerometer" -0.200713631367356
3 "WALKING" "Body Accelerometer Jerk" -0.213524803812328
3 "WALKING" "Body Accelerometer Jerk Magnitude" -0.174135545027414
3 "WALKING" "Body Accelerometer Magnitude" -0.332380971465517
3 "WALKING" "Body Gyroscope" -0.398497577378161
3 "WALKING" "Body Gyroscope Jerk" -0.291010657045489
3 "WALKING" "Body Gyroscope Jerk Magnitude" -0.572586358189655
3 "WALKING" "Body Gyroscope Magnitude" -0.557580375646552
3 "WALKING" "Gravity Accelerometer" -0.392634417795977
3 "WALKING" "Gravity Accelerometer Magnitude" -0.291559634913793
3 "WALKING_DOWNSTAIRS" "Body Accelerometer" -0.109590260895595
3 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk" -0.197485661205658
3 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk Magnitude" -0.126612990361735
3 "WALKING_DOWNSTAIRS" "Body Accelerometer Magnitude" -0.0772136805586224
3 "WALKING_DOWNSTAIRS" "Body Gyroscope" -0.304741691341327
3 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk" -0.249980364008844
3 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk Magnitude" -0.573418702040816
3 "WALKING_DOWNSTAIRS" "Body Gyroscope Magnitude" -0.278976664245918
3 "WALKING_DOWNSTAIRS" "Gravity Accelerometer" -0.364703983278912
3 "WALKING_DOWNSTAIRS" "Gravity Accelerometer Magnitude" -0.0519733098376531
3 "WALKING_UPSTAIRS" "Body Accelerometer" -0.18103201441791
3 "WALKING_UPSTAIRS" "Body Accelerometer Jerk" -0.354019033240862
3 "WALKING_UPSTAIRS" "Body Accelerometer Jerk Magnitude" -0.442362962966102
3 "WALKING_UPSTAIRS" "Body Accelerometer Magnitude" -0.32036819404661
3 "WALKING_UPSTAIRS" "Body Gyroscope" -0.385467046523023
3 "WALKING_UPSTAIRS" "Body Gyroscope Jerk" -0.343640792825706
3 "WALKING_UPSTAIRS" "Body Gyroscope Jerk Magnitude" -0.708450164152542
3 "WALKING_UPSTAIRS" "Body Gyroscope Magnitude" -0.428900462891525
3 "WALKING_UPSTAIRS" "Gravity Accelerometer" -0.404266353531073
3 "WALKING_UPSTAIRS" "Gravity Accelerometer Magnitude" -0.258806163771186
4 "LAYING" "Body Accelerometer" -0.703908104443981
4 "LAYING" "Body Accelerometer Jerk" -0.717304618975273
4 "LAYING" "Body Accelerometer Jerk Magnitude" -0.962801611759259
4 "LAYING" "Body Accelerometer Magnitude" -0.94060687425463
4 "LAYING" "Body Gyroscope" -0.718897082581173
4 "LAYING" "Body Gyroscope Jerk" -0.526713790604938
4 "LAYING" "Body Gyroscope Jerk Magnitude" -0.983479855185185
4 "LAYING" "Body Gyroscope Magnitude" -0.946481307407407
4 "LAYING" "Gravity Accelerometer" -0.338526909660494
4 "LAYING" "Gravity Accelerometer Magnitude" -0.94292490987963
4 "SITTING" "Body Accelerometer" -0.6898033607165
4 "SITTING" "Body Accelerometer Jerk" -0.720916981947417
4 "SITTING" "Body Accelerometer Jerk Magnitude" -0.9641916618
4 "SITTING" "Body Accelerometer Magnitude" -0.92473011735
4 "SITTING" "Body Gyroscope" -0.718047286188333
4 "SITTING" "Body Gyroscope Jerk" -0.5184900383672
4 "SITTING" "Body Gyroscope Jerk Magnitude" -0.9772766673
4 "SITTING" "Body Gyroscope Magnitude" -0.9331454784
4 "SITTING" "Gravity Accelerometer" -0.279005937640518
4 "SITTING" "Gravity Accelerometer Magnitude" -0.9250513324
4 "STANDING" "Body Accelerometer" -0.673242313820223
4 "STANDING" "Body Accelerometer Jerk" -0.717848067914424
4 "STANDING" "Body Accelerometer Jerk Magnitude" -0.959425500714286
4 "STANDING" "Body Accelerometer Magnitude" -0.902602198035714
4 "STANDING" "Body Gyroscope" -0.694791385802381
4 "STANDING" "Body Gyroscope Jerk" -0.513656672790655
4 "STANDING" "Body Gyroscope Jerk Magnitude" -0.965699553794643
4 "STANDING" "Body Gyroscope Magnitude" -0.896882497053571
4 "STANDING" "Gravity Accelerometer" -0.290455980815476
4 "STANDING" "Gravity Accelerometer Magnitude" -0.898727367589286
4 "WALKING" "Body Accelerometer" -0.275327314332583
4 "WALKING" "Body Accelerometer Jerk" -0.319672620033194
4 "WALKING" "Body Accelerometer Jerk Magnitude" -0.330666586958333
4 "WALKING" "Body Accelerometer Magnitude" -0.485426715958333
4 "WALKING" "Body Gyroscope" -0.452485731348569
4 "WALKING" "Body Gyroscope Jerk" -0.358333471221944
4 "WALKING" "Body Gyroscope Jerk Magnitude" -0.723386476708333
4 "WALKING" "Body Gyroscope Magnitude" -0.563532775269167
4 "WALKING" "Gravity Accelerometer" -0.318141340816667
4 "WALKING" "Gravity Accelerometer Magnitude" -0.419864838666667
4 "WALKING_DOWNSTAIRS" "Body Accelerometer" -0.167995839109907
4 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk" -0.232993974162241
4 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk Magnitude" -0.225358099809611
4 "WALKING_DOWNSTAIRS" "Body Accelerometer Magnitude" -0.103458985578333
4 "WALKING_DOWNSTAIRS" "Body Gyroscope" -0.390533629637963
4 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk" -0.28581486945963
4 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk Magnitude" -0.6342864865
4 "WALKING_DOWNSTAIRS" "Body Gyroscope Magnitude" -0.403516593938889
4 "WALKING_DOWNSTAIRS" "Gravity Accelerometer" -0.298452887771481
4 "WALKING_DOWNSTAIRS" "Gravity Accelerometer Magnitude" -0.0655587883922222
4 "WALKING_UPSTAIRS" "Body Accelerometer" -0.172924879731064
4 "WALKING_UPSTAIRS" "Body Accelerometer Jerk" -0.348825097940801
4 "WALKING_UPSTAIRS" "Body Accelerometer Jerk Magnitude" -0.43322852625
4 "WALKING_UPSTAIRS" "Body Accelerometer Magnitude" -0.235886908132692
4 "WALKING_UPSTAIRS" "Body Gyroscope" -0.344389028388782
4 "WALKING_UPSTAIRS" "Body Gyroscope Jerk" -0.36223312026891
4 "WALKING_UPSTAIRS" "Body Gyroscope Jerk Magnitude" -0.744301885384615
4 "WALKING_UPSTAIRS" "Body Gyroscope Magnitude" -0.484759310817308
4 "WALKING_UPSTAIRS" "Gravity Accelerometer" -0.33400052663141
4 "WALKING_UPSTAIRS" "Gravity Accelerometer Magnitude" -0.182858117919231
5 "LAYING" "Body Accelerometer" -0.713884527102564
5 "LAYING" "Body Accelerometer Jerk" -0.726109102044263
5 "LAYING" "Body Accelerometer Jerk Magnitude" -0.977839178461538
5 "LAYING" "Body Accelerometer Magnitude" -0.962537755673077
5 "LAYING" "Body Gyroscope" -0.724824945239119
5 "LAYING" "Body Gyroscope Jerk" -0.528375185918269
5 "LAYING" "Body Gyroscope Jerk Magnitude" -0.984560830336538
5 "LAYING" "Body Gyroscope Magnitude" -0.958186588653846
5 "LAYING" "Gravity Accelerometer" -0.362278599102564
5 "LAYING" "Gravity Accelerometer Magnitude" -0.962695334615385
5 "SITTING" "Body Accelerometer" -0.692316460535985
5 "SITTING" "Body Accelerometer Jerk" -0.71938771902003
5 "SITTING" "Body Accelerometer Jerk Magnitude" -0.966515878238636
5 "SITTING" "Body Accelerometer Magnitude" -0.930219311477273
5 "SITTING" "Body Gyroscope" -0.717933944045644
5 "SITTING" "Body Gyroscope Jerk" -0.514927662383333
5 "SITTING" "Body Gyroscope Jerk Magnitude" -0.971628667784091
5 "SITTING" "Body Gyroscope Magnitude" -0.936305911136364
5 "SITTING" "Gravity Accelerometer" -0.27931761590947
5 "SITTING" "Gravity Accelerometer Magnitude" -0.929458675113636
5 "STANDING" "Body Accelerometer" -0.666766999402574
5 "STANDING" "Body Accelerometer Jerk" -0.710216705943884
5 "STANDING" "Body Accelerometer Jerk Magnitude" -0.946313369241071
5 "STANDING" "Body Accelerometer Magnitude" -0.894316266383929
5 "STANDING" "Body Gyroscope" -0.690285270650104
5 "STANDING" "Body Gyroscope Jerk" -0.503703511349702
5 "STANDING" "Body Gyroscope Jerk Magnitude" -0.951214881339286
5 "STANDING" "Body Gyroscope Magnitude" -0.885292814508929
5 "STANDING" "Gravity Accelerometer" -0.293425606019048
5 "STANDING" "Gravity Accelerometer Magnitude" -0.892939251160714
5 "WALKING" "Body Accelerometer" -0.16900866497054
5 "WALKING" "Body Accelerometer Jerk" -0.255360170723467
5 "WALKING" "Body Accelerometer Jerk Magnitude" -0.286435584502232
5 "WALKING" "Body Accelerometer Magnitude" -0.340036705687946
5 "WALKING" "Body Gyroscope" -0.32522940440497
5 "WALKING" "Body Gyroscope Jerk" -0.211477803209821
5 "WALKING" "Body Gyroscope Jerk Magnitude" -0.484362776830357
5 "WALKING" "Body Gyroscope Magnitude" -0.480528560714286
5 "WALKING" "Gravity Accelerometer" -0.338475624896131
5 "WALKING" "Gravity Accelerometer Magnitude" -0.26775870389375
5 "WALKING_DOWNSTAIRS" "Body Accelerometer" 0.0031287102858156
5 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk" -0.111152604618404
5 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk Magnitude" -0.0433904160161702
5 "WALKING_DOWNSTAIRS" "Body Accelerometer Magnitude" 0.153789190182979
5 "WALKING_DOWNSTAIRS" "Body Gyroscope" -0.265772609590372
5 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk" -0.196876635341667
5 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk Magnitude" -0.447081125744681
5 "WALKING_DOWNSTAIRS" "Body Gyroscope Magnitude" -0.353046957389894
5 "WALKING_DOWNSTAIRS" "Gravity Accelerometer" -0.312079630099088
5 "WALKING_DOWNSTAIRS" "Gravity Accelerometer Magnitude" 0.208280614797872
5 "WALKING_UPSTAIRS" "Body Accelerometer" -0.0596835151980851
5 "WALKING_UPSTAIRS" "Body Accelerometer Jerk" -0.251004278399805
5 "WALKING_UPSTAIRS" "Body Accelerometer Jerk Magnitude" -0.300220409446809
5 "WALKING_UPSTAIRS" "Body Accelerometer Magnitude" -0.129133408428989
5 "WALKING_UPSTAIRS" "Body Gyroscope" -0.282495591339007
5 "WALKING_UPSTAIRS" "Body Gyroscope Jerk" -0.24528840557961
5 "WALKING_UPSTAIRS" "Body Gyroscope Jerk Magnitude" -0.543826347978723
5 "WALKING_UPSTAIRS" "Body Gyroscope Magnitude" -0.355803595571277
5 "WALKING_UPSTAIRS" "Gravity Accelerometer" -0.35463925656727
5 "WALKING_UPSTAIRS" "Gravity Accelerometer Magnitude" -0.0465900907835106
6 "LAYING" "Body Accelerometer" -0.688805931981725
6 "LAYING" "Body Accelerometer Jerk" -0.70721803194114
6 "LAYING" "Body Accelerometer Jerk Magnitude" -0.951325143596491
6 "LAYING" "Body Accelerometer Magnitude" -0.908482682210526
6 "LAYING" "Body Gyroscope" -0.703228882530117
6 "LAYING" "Body Gyroscope Jerk" -0.513879114581754
6 "LAYING" "Body Gyroscope Jerk Magnitude" -0.954500837938597
6 "LAYING" "Body Gyroscope Magnitude" -0.922185800350877
6 "LAYING" "Gravity Accelerometer" -0.353214560133918
6 "LAYING" "Gravity Accelerometer Magnitude" -0.908102548394737
6 "SITTING" "Body Accelerometer" -0.695907934701667
6 "SITTING" "Body Accelerometer Jerk" -0.712020630710197
6 "SITTING" "Body Accelerometer Jerk Magnitude" -0.951642170954545
6 "SITTING" "Body Accelerometer Magnitude" -0.939103445272727
6 "SITTING" "Body Gyroscope" -0.713068836599394
6 "SITTING" "Body Gyroscope Jerk" -0.506316942650061
6 "SITTING" "Body Gyroscope Jerk Magnitude" -0.954077764772727
6 "SITTING" "Body Gyroscope Magnitude" -0.928309526454545
6 "SITTING" "Gravity Accelerometer" -0.305624404900242
6 "SITTING" "Gravity Accelerometer Magnitude" -0.940558093454545
6 "STANDING" "Body Accelerometer" -0.696398202070029
6 "STANDING" "Body Accelerometer Jerk" -0.71645941435329
6 "STANDING" "Body Accelerometer Jerk Magnitude" -0.958624291578947
6 "STANDING" "Body Accelerometer Magnitude" -0.943711759429825
6 "STANDING" "Body Gyroscope" -0.709688520650731
6 "STANDING" "Body Gyroscope Jerk" -0.51140375294386
6 "STANDING" "Body Gyroscope Jerk Magnitude" -0.955864023640351
6 "STANDING" "Body Gyroscope Magnitude" -0.926267343991228
6 "STANDING" "Gravity Accelerometer" -0.361336652545322
6 "STANDING" "Gravity Accelerometer Magnitude" -0.942166563070175
6 "WALKING" "Body Accelerometer" -0.151655357616725
6 "WALKING" "Body Accelerometer Jerk" -0.182668075188158
6 "WALKING" "Body Accelerometer Jerk Magnitude" -0.10440534613114
6 "WALKING" "Body Accelerometer Magnitude" -0.264161145539474
6 "WALKING" "Body Gyroscope" -0.276756994504825
6 "WALKING" "Body Gyroscope Jerk" -0.157292556088889
6 "WALKING" "Body Gyroscope Jerk Magnitude" -0.365144566515351
6 "WALKING" "Body Gyroscope Magnitude" -0.371785050973684
6 "WALKING" "Gravity Accelerometer" -0.353778667476608
6 "WALKING" "Gravity Accelerometer Magnitude" -0.2167874405
6 "WALKING_DOWNSTAIRS" "Body Accelerometer" 0.103751817554479
6 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk" 0.0200616139693264
6 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk Magnitude" 0.177997591704167
6 "WALKING_DOWNSTAIRS" "Body Accelerometer Magnitude" 0.311986859317708
6 "WALKING_DOWNSTAIRS" "Body Gyroscope" -0.103070640502934
6 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk" -0.0167733650451389
6 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk Magnitude" -0.118151007859323
6 "WALKING_DOWNSTAIRS" "Body Gyroscope Magnitude" -0.0712718234147917
6 "WALKING_DOWNSTAIRS" "Gravity Accelerometer" -0.351826221903681
6 "WALKING_DOWNSTAIRS" "Gravity Accelerometer Magnitude" 0.3536833228125
6 "WALKING_UPSTAIRS" "Body Accelerometer" -0.0653231642658333
6 "WALKING_UPSTAIRS" "Body Accelerometer Jerk" -0.200139870253578
6 "WALKING_UPSTAIRS" "Body Accelerometer Jerk Magnitude" -0.181238309428137
6 "WALKING_UPSTAIRS" "Body Accelerometer Magnitude" -0.0913702900153431
6 "WALKING_UPSTAIRS" "Body Gyroscope" -0.199073922432827
6 "WALKING_UPSTAIRS" "Body Gyroscope Jerk" -0.168787532515654
6 "WALKING_UPSTAIRS" "Body Gyroscope Jerk Magnitude" -0.424537318007353
6 "WALKING_UPSTAIRS" "Body Gyroscope Magnitude" -0.219453965492647
6 "WALKING_UPSTAIRS" "Gravity Accelerometer" -0.370676287347712
6 "WALKING_UPSTAIRS" "Gravity Accelerometer Magnitude" -0.0306858933871569
7 "LAYING" "Body Accelerometer" -0.695752426009295
7 "LAYING" "Body Accelerometer Jerk" -0.722936295105401
7 "LAYING" "Body Accelerometer Jerk Magnitude" -0.970215914807692
7 "LAYING" "Body Accelerometer Magnitude" -0.920487720138462
7 "LAYING" "Body Gyroscope" -0.714176528317003
7 "LAYING" "Body Gyroscope Jerk" -0.524702833934295
7 "LAYING" "Body Gyroscope Jerk Magnitude" -0.974433728605769
7 "LAYING" "Body Gyroscope Magnitude" -0.923619832932692
7 "LAYING" "Gravity Accelerometer" -0.338917658798077
7 "LAYING" "Gravity Accelerometer Magnitude" -0.9217157685
7 "SITTING" "Body Accelerometer" -0.67679268866941
7 "SITTING" "Body Accelerometer Jerk" -0.723303282706389
7 "SITTING" "Body Accelerometer Jerk Magnitude" -0.971563000572917
7 "SITTING" "Body Accelerometer Magnitude" -0.899065535338542
7 "SITTING" "Body Gyroscope" -0.712403807089271
7 "SITTING" "Body Gyroscope Jerk" -0.519210844931944
7 "SITTING" "Body Gyroscope Jerk Magnitude" -0.977870120677083
7 "SITTING" "Body Gyroscope Magnitude" -0.906205195677083
7 "SITTING" "Gravity Accelerometer" -0.28848688624375
7 "SITTING" "Gravity Accelerometer Magnitude" -0.900194863427083
7 "STANDING" "Body Accelerometer" -0.693378002208333
7 "STANDING" "Body Accelerometer Jerk" -0.722900719013726
7 "STANDING" "Body Accelerometer Jerk Magnitude" -0.969614428113208
7 "STANDING" "Body Accelerometer Magnitude" -0.939803557877358
7 "STANDING" "Body Gyroscope" -0.714074807725613
7 "STANDING" "Body Gyroscope Jerk" -0.517826779133648
7 "STANDING" "Body Gyroscope Jerk Magnitude" -0.9737639
7 "STANDING" "Body Gyroscope Magnitude" -0.930104411839623
7 "STANDING" "Gravity Accelerometer" -0.350629541748428
7 "STANDING" "Gravity Accelerometer Magnitude" -0.938157408018868
7 "WALKING" "Body Accelerometer" -0.0666590213464035
7 "WALKING" "Body Accelerometer Jerk" -0.139614840625921
7 "WALKING" "Body Accelerometer Jerk Magnitude" -0.0702658293926316
7 "WALKING" "Body Accelerometer Magnitude" -0.199828545608772
7 "WALKING" "Body Gyroscope" -0.275214831821696
7 "WALKING" "Body Gyroscope Jerk" -0.177018131837591
7 "WALKING" "Body Gyroscope Jerk Magnitude" -0.158717282335833
7 "WALKING" "Body Gyroscope Magnitude" -0.260261799693728
7 "WALKING" "Gravity Accelerometer" -0.381465442075143
7 "WALKING" "Gravity Accelerometer Magnitude" -0.148181876164912
7 "WALKING_DOWNSTAIRS" "Body Accelerometer" -0.0355396232800532
7 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk" -0.160233883774557
7 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk Magnitude" 0.0237776837716489
